claim_id,study_id,result_position,source_result_id,role,direction,status,note
study_03_claim_01,study_03,key,study_03_result_01,primary,unclear,pending,"Wave 3 (MANOVA). Verified against Ali's Phase 2: reported key F(3,164)=2.14 matches result_01 exactly. Needs a raw-data Bayesian MANOVA/multivariate model."
study_03_claim_02,study_03,second,study_03_result_02,supplementary,unclear,pending,"Verified: reported second F(3,164)=0.78 matches result_02 exactly. Same raw-data model requirement as claim_01."
study_05_claim_01,study_05,key,study_05_result_01,primary,two_sided,ready,"Verified: reported key t=3.26 matches result_01 exactly. Checked Phase 1 hypothesis column: the article's a priori prediction concerns forgetting-over-time (retest vs original), not the psych-vs-nonpsych comparison actually tested here, so no legitimate pre-specified direction applies -- keep two_sided."
study_05_claim_02,study_05,second,study_05_result_02,supplementary,two_sided,ready,Verified: reported second t=16.06 matches result_02 exactly. Same reasoning as claim_01 -- no applicable pre-specified direction.
study_06_claim_01,study_06,key,study_06_result_01,primary,positive,pending,"Wave 2 (factorial ANOVA simple effect). Phase 1 hypothesis explicitly predicts belonging would be 'strengthened' by social annotation -- legitimate pre-specified direction, updated from two_sided to positive. Still needs raw-data model fit (2x2 between-subjects design)."
study_10_claim_01,study_10,key,study_10_result_01,primary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit."
study_10_claim_02,study_10,second,study_10_result_02,supplementary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit."
study_13_claim_01,study_13,key,study_13_result_01,primary,positive,pending,"Phase 1 hypothesis explicitly predicts the intervention 'would increase' knowledge/awareness/intentions -- legitimate pre-specified direction, updated from two_sided to positive. Still Wave 2: Welch (heteroscedastic) independent t-test, needs a raw-data heteroscedastic Bayesian model, not meta.ttestBF()'s equal-variance JZS model."
study_13_claim_02,study_13,second,study_13_result_02,supplementary,positive,pending,Same as claim_01: pre-specified positive direction confirmed; Welch design still needs a heteroscedastic model.
study_14_claim_01,study_14,key,study_14_result_01,primary,two_sided,ready,Verified: reported key r=.46 matches result_01 exactly. No explicit directional hypothesis in Phase 1 (aim/RQ substituted) -- keep two_sided.
study_14_claim_02,study_14,second,study_14_result_02,supplementary,two_sided,ready,Verified: reported second r=.30 matches result_02 exactly. Same reasoning as claim_01.
study_18_claim_01,study_18,key,study_18_result_01,primary,unclear,pending,"Verified: reported key F(16,574)=36.66 matches result_01 exactly. Wave 3 (MANOVA, 16 outcome-related predictors). Needs raw-data multivariate model."
study_20_claim_01,study_20,key,study_20_result_01,primary,positive,pending,Phase 1 hypothesis explicitly predicts reflection+social-interaction components lead to 'stronger epistemic change' than the comparisons -- this legitimately supports the one-sided test the authors themselves used (not a post-hoc choice). Updated from unclear to positive. Wave 3 (SEM/lavaan); still needs Bayesian SEM (e.g. blavaan).
study_20_claim_02,study_20,second,study_20_result_02,supplementary,positive,pending,Same pre-specified hypothesis as claim_01 supports positive/one-sided direction. Same SEM model family requirement.
study_21_claim_01,study_21,key,study_21_result_01,primary,two_sided,ready,"Verified: reported key matches result_01 (Pre M=5.31 SD=0.96, Post M=4.94 SD=1.10) exactly. No explicit directional hypothesis in Phase 1 (research question substituted) -- keep two_sided."
study_21_claim_02,study_21,second,,supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible', so no verified result and no p-value exist. Held, not re-attempted, same treatment as study_35."
study_22_claim_01,study_22,key,study_22_result_01,primary,two_sided,ready,"Verified: reported key F(1,23)=50.76 matches result_01 exactly. Phase 1 hypothesis is non-specific ('could prove effective') -- not a crisp directional prediction, keep two_sided. Recomputed as a 2-level repeated-measures ANOVA; F(1,23)=50.76=t(23)^2=7.1245^2, so use t_value/t_df directly with the Wave-1 paired-t Bayes factor, not an ANOVA model."
study_22_claim_02,study_22,second,,supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible', so no verified result and no p-value exist. Held, not re-attempted, same treatment as study_35."
study_26_claim_01,study_26,key,study_26_result_01,primary,two_sided,pending,"Verified: reported key z=-6.155 matches result_01 (z=-6.154861) exactly. Wave 3: Wilcoxon signed-rank. Needs a rank-likelihood or robust location model, not a t-test conversion."
study_26_claim_02,study_26,second,study_26_result_02,supplementary,two_sided,pending,Verified: reported second z=-6.126 matches result_02 (z=-6.126040) exactly. Same model requirement as claim_01.
study_30_claim_01,study_30,key,study_30_result_01,primary,two_sided,ready,"Verified: reported t(36)=-1.21, p=.23 matches result_01 exactly. Phase 1's own claim frames this as 'largely inconclusive, no significant change' -- consistent with two_sided, no change needed."
study_33_claim_01,study_33,key,study_33_result_01,primary,two_sided,ready,"Verified: reported key t=4.27 matches result_01 exactly. Phase 1 hypothesis is general framing about promoting engagement, not a crisp one-sample directional prediction against the scale midpoint -- keep two_sided (conservative)."
study_33_claim_02,study_33,second,study_33_result_02,supplementary,two_sided,ready,Verified: reported second t=16.03 matches result_02 exactly. Same reasoning as claim_01.
study_35_claim_01,study_35,key,study_35_result_01,primary,unclear,held,"Verified: Ali's own reported key result F(2,116)=4.22 matches the article value stored in reported_result -- and the extraction_note independently confirms the recomputed F(2,116)=10.43 does not recover it under any variant tried. Held."
study_39_claim_01,study_39,key,study_39_result_01,primary,two_sided,pending,"Verified: reported key rho=.468 matches result_01 exactly. Wave 3: Spearman correlation, needs a rank-likelihood/copula model, not a Pearson conversion."
study_39_claim_02,study_39,second,study_39_result_02,supplementary,two_sided,pending,"CONFIRMED directly in Ali's own Phase 2 file: the second-result cell literally reads 'p =.394, p = .031' -- the same transcription glitch (rho mislabeled as p) is present in the source spreadsheet itself, not introduced during extraction. Recomputed rho=.394, p=.031 is used. Same model requirement as claim_01."
study_40_claim_01,study_40,key,study_40_result_01,primary,unclear,pending,"Verified: reported key Delta-chi-sq=10.31 matches result_01 exactly. Wave 3: lavaan growth-model chi-square difference test, needs the full two-model Bayesian SEM comparison."
study_40_claim_02,study_40,second,,supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible' (reported Delta-chi-sq=16.3, p<.005, but no recomputed row/p-value exists). Held, not re-attempted, same treatment as study_35."
study_41_claim_01,study_41,key,study_41_result_01,primary,positive,ready,"Verified: reported key t=8.53 matches result_01 exactly (df CORRECTED to 29, not 36). Phase 1 hypothesis explicitly predicts 'an increase' in research knowledge/skills pre-post -- legitimate pre-specified direction, updated from two_sided to positive."
study_41_claim_02,study_41,second,study_41_result_02,supplementary,positive,ready,"Verified: reported second t=6.15 matches result_02 exactly (df CORRECTED to 28, not 36). Same pre-specified positive direction as claim_01."
study_43_claim_01,study_43,key,,primary,unclear,pending,"CORRECTION after checking Ali's Phase 2 directly: reported key is F(1,64)=5.33, p=.024, but study_43_result_01 stores F(1,64)=5.18 for a DIFFERENT contrast ('Target interaction'). The matching value (F=5.325433, p=.0242607) exists only inside result_01's extraction_note text as a 'Follow-up reviewed/tested content contrast', not as its own result row. source_result_id cleared to blank rather than left pointing at the wrong statistic. Needs a new recomputed row for this specific contrast before it can be marked ready."
study_43_claim_02,study_43,second,,supplementary,unclear,pending,"CORRECTION: Ali's Phase 2 marks this second result 'Fully reproducible' (reported F(1,64)=19.09, matching the extraction_note's 'Question-type main effect: F(1,64)=19.091631' inside result_01) -- so unlike study_21/22/40, this is a genuine reproduction-script gap, not a data-level non-reproducibility. The value already exists computationally; it just needs its own saved row."
study_44_claim_01,study_44,key,study_44_result_01,primary,unclear,pending,"Verified: reported key F(7,199)=12.75 matches result_01 exactly. Wave 3 (MANOVA, Experiment 1). Needs raw-data multivariate model."
study_44_claim_02,study_44,second,study_44_result_02,supplementary,unclear,pending,"Verified: reported second F(7,199)=0.65 matches result_02 exactly. Same MANOVA model family as claim_01."
study_45_claim_01,study_45,key,study_45_result_01,primary,unclear,pending,"Verified: reported key chi-sq(3)=1321.10 matches result_01 exactly. Wave 3: Friedman test, needs an ordinal/rank repeated-measures Bayesian model."
study_47_claim_01,study_47,key,study_47_result_01,primary,positive,pending,"Phase 1 hypothesis explicitly predicts multiple-choice leads to higher (over-estimated) performance predictions than short-answer -- legitimate pre-specified direction, updated from two_sided to positive. Wave 2: between-subjects factor (F(1,119), numerator df=1), candidate for a t-equivalent Bayes factor once reviewed."
study_47_claim_02,study_47,second,study_47_result_02,supplementary,unclear,pending,"No directional prediction covers this specific interaction term. Wave 2: within-subjects interaction (F(2,238), numerator df=2), NOT reducible to a t-test."
study_49_claim_01,study_49,key,study_49_result_01,primary,two_sided,ready,"RESOLVED after checking Ali's files directly: Phase 1's hypothesis column frames this as exploratory ('we explored whether...'), not a directional prediction, and Ali's own Final claim states participants 'performed equally well' -- confirms two_sided is correct and the stored one-sided p was a reporting choice, not a pre-registered direction. Moved from pending to ready. p_value here is the ONE-sided p (.119) as stored by the reproduction script; run resolve_claim_directionality() after build_claims_draft() to convert it to two-sided before use."
study_49_claim_02,study_49,second,study_49_result_02,supplementary,two_sided,ready,Same resolution as claim_01. p_value here is the one-sided p (.319); resolve_claim_directionality() converts it to two-sided.
study_51_claim_01,study_51,key,study_51_result_01,primary,two_sided,ready,"Verified: reported key t=2.79 matches result_01 exactly. Checked Phase 1 hypothesis column: it is an open research question ('what were the overall student experiences...'), not a directional prediction -- keep two_sided rather than assuming positive from the results-describing Final claim text."
study_51_claim_02,study_51,second,study_51_result_02,supplementary,two_sided,pending,"Verified: reported second t=-0.95 matches result_02 exactly. Reporting inconsistency confirmed: article states p<.01 but recomputed t=-0.95, df=100 gives p=.346 -- incompatible. Needs human review of the original article before a Bayes factor is computed."
study_53_claim_01,study_53,key,study_53_result_01,primary,positive,ready,"Verified: reported key t=3.29 matches result_01 exactly. Phase 1 hypothesis explicitly predicts an 'eye-level advantage' -- legitimate pre-specified direction, updated from two_sided to positive."
study_53_claim_02,study_53,second,study_53_result_02,supplementary,positive,ready,Verified: reported second t=2.79 matches result_02 exactly. Same pre-specified eye-level-advantage direction as claim_01.
study_55_claim_01,study_55,key,study_55_result_01,primary,unclear,pending,"Verified: reported key F(3,79.57)=35.64 matches result_01 exactly (article's own BF10=2.06e8 retained as metadata only, not independently recomputed). Wave 2: Welch one-way ANOVA (4 groups), needs a heteroscedastic raw-data Bayesian model."
study_60_claim_01,study_60,key,study_60_result_01,primary,positive,pending,"Phase 1 hypothesis explicitly predicts higher field belonging/engagement/course interest for the ISC syllabus -- legitimate pre-specified direction, updated from two_sided to positive. Wave 2: factorial ANOVA (F(1,322), numerator df=1, winsorised primary spec), candidate for a t-equivalent Bayes factor once reviewed."
study_60_claim_02,study_60,second,study_60_result_02,supplementary,positive,pending,Same pre-specified hypothesis as claim_01 (more positive impressions of instructor). Same design/model requirement.
study_27_claim_01,study_27,key,study_27_result_01,primary,two_sided,ready,"Chopik & Oh 2022, paired-samples t-test (fast-friends pre/post). Phase-1 has no explicit directional hypothesis (aim/RQ substituted) -- two_sided. Ali marked key 'Not reproducible' but only Cohen's d differs (average-SD d=5.64 vs 5.65, rounding-boundary); t(38)=25.32, p, means and SDs reproduce exactly -> valid Wave-1 paired-t Bayes factor. Moved to ready."
study_27_claim_02,study_27,second,study_27_result_02,supplementary,two_sided,ready,"Second result (spirit of community). Fully reproducible: t(38)=9.03, d(av)=1.80 matches exactly. No explicit directional hypothesis -- two_sided. Wave-1 paired-t."
study_29_claim_01,study_29,key,study_29_result_01,primary,positive,pending,"Morling & Lee 2019, 2x2 (Title x Department) factorial ANOVA on univtenure. Phase-1 explicitly predicts teaching-tagged titles signal lower status incl. tenure -- legitimate pre-specified direction, positive. F(1,432)=232.57 and 95% CI reproduce exactly; d=1.46 vs reported 1.50 (reported CI centers on 1.46). Wave 2: factorial ANOVA (numerator df=1), pending a design-matched Bayesian model."
study_29_claim_02,study_29,second,study_29_result_02,supplementary,two_sided,pending,"Second result (likely to have children, univkids). Fully reproducible: F(1,429)=14.19, |d|=0.36 [0.17,0.55]. No pre-specified directional prediction for this DV -- two_sided. Wave 2: factorial ANOVA, pending."
