claim_id,study_id,doi,claim,role,direction,status,note,result_position,source_result_id,article_result_from_phase1,ali_test_name,ali_reported_result,ali_reproduced_result,ali_result_status,in_scope,scope_exclusion_reason,project_verified_result,project_result_status,frequentist_test,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,extraction_note,source_file,source_row_id,source_study_id
study_03_claim_01,study_03,10.1037/stl0000432,"No significant differences existed in most student perceptions of instructor and course, but students who viewed the syllabus snapshot saw the instructor as less difficult, also indicating they would be more likely to take the course and recommend it to others.",primary,unclear,pending,"Wave 3 (MANOVA). Verified against Ali's Phase 2: reported key F(3,164)=2.14 matches result_01 exactly. Needs a raw-data Bayesian MANOVA/multivariate model.",key,study_03_result_01,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",2 × 2 between-subjects MANOVA,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.","F (3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",Fully reproducible,TRUE,,"F(3, 164) = 2.14, p = .10, Wilks' lambda = .96, eta_p2 = .04",recomputed_from_raw_data_type_III_manova,manova,0.09731048243233506,=,omnibus,,,2.1389606390053655,3,164,,,,,,,170,170,eta_p2_from_wilks,0.03765402725852462,0.9623459727414754,,Snapshot_MASTER_noID_cleaned_03.11.24.sav,TBC_COMP; TBC_CARE; percept; snap_syll; snap_inst,"cbind(TBC_COMP, TBC_CARE, percept) ~ snap_syll * snap_inst, Type-III MANOVA with effect-coded factors",Whether the effect of syllabus snapshot presence differs depending on instructor snapshot presence across the three perception outcomes.,"Complete-case N = 170. Cell counts: snap_syll=0, snap_inst=0, n=35; snap_syll=0, snap_inst=1, n=44; snap_syll=1, snap_inst=0, n=46; snap_syll=1, snap_inst=1, n=45. The estimate column stores Wilks' lambda; eta_p2_from_wilks is 1 - Wilks' lambda.",study_03_recomputed.csv,1,study_03
study_03_claim_02,study_03,10.1037/stl0000432,"No significant differences existed in most student perceptions of instructor and course, but students who viewed the syllabus snapshot saw the instructor as less difficult, also indicating they would be more likely to take the course and recommend it to others.",supplementary,unclear,pending,"Verified: reported second F(3,164)=0.78 matches result_02 exactly. Same raw-data model requirement as claim_01.",second,study_03_result_02,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",2 × 2 between-subjects MANOVA,"F(3, 164) = 0.78, p = .51, Wilks’ λ = .99, ηp²= .01","F(3, 164) = 0.78, p = .51, Wilks’ λ = .99, ηp²= .01",Fully reproducible,TRUE,,"F(3, 164) = 0.78, p = .51, Wilks' lambda = .99, eta_p2 = .01",recomputed_from_raw_data_type_III_manova,manova,0.5076886452135867,=,omnibus,,,0.7782452647851081,3,164,,,,,,,170,170,eta_p2_from_wilks,0.01403636939215047,0.9859636306078496,,Snapshot_MASTER_noID_cleaned_03.11.24.sav,TBC_COMP; TBC_CARE; percept; snap_syll; snap_inst,"cbind(TBC_COMP, TBC_CARE, percept) ~ snap_syll * snap_inst, Type-III MANOVA with effect-coded factors","Main effect of syllabus snapshot presence across teacher competence, teacher care, and general course/instructor perceptions.","Complete-case N = 170. Cell counts: snap_syll=0, snap_inst=0, n=35; snap_syll=0, snap_inst=1, n=44; snap_syll=1, snap_inst=0, n=46; snap_syll=1, snap_inst=1, n=45. The estimate column stores Wilks' lambda; eta_p2_from_wilks is 1 - Wilks' lambda.",study_03_recomputed.csv,2,study_03
study_05_claim_01,study_05,10.1037/stl0000136,"In a retest of items from their first midterm, students showed high performance (70% correct) compared to previous studies, with psychology students (majors and minors) showing better performance than nonpsychology students (81% vs. 69%), d  .74.",primary,two_sided,ready,"Verified: reported key t=3.26 matches result_01 exactly. Checked Phase 1 hypothesis column: the article's a priori prediction concerns forgetting-over-time (retest vs original), not the psych-vs-nonpsych comparison actually tested here, so no legitimate pre-specified direction applies -- keep two_sided.",key,study_05_result_01,"t(154) = 3.26, p < .001, d = 0.74",Independent samples t-test,"t(154) = 3.26, p < .001, d = 0.74","t(154) = 3.26, p < .001, d = 0.74",Fully reproducible,TRUE,,"t(154) = 3.26, p = .001, d = 0.74",recomputed_from_raw_data,independent_t_test,0.00135718173128889,=,two_sided,3.2631700654818907,154,,,,,,,,23,133,156,19.60897435897436,cohens_d,0.7369062993242013,0.12275253350768234,0.03761757157745769,data/raw/study_05/HardLovettBrady_Data_Shared.csv,Speciality; 16ItemQuizFollowupPerformance,"16ItemQuizFollowupPerformance ~ Speciality; Student independent-samples t-test, equal variances",psychology students minus nonpsychology students; Speciality 1 minus Speciality 0,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Psychology n = 23; nonpsychology n = 133; psychology mean = 0.809783; nonpsychology mean = 0.68703; psychology SD = 0.142868; nonpsychology SD = 0.170209.",study_05_recomputed.csv,3,study_05
study_05_claim_02,study_05,10.1037/stl0000136,"In a retest of items from their first midterm, students showed high performance (70% correct) compared to previous studies, with psychology students (majors and minors) showing better performance than nonpsychology students (81% vs. 69%), d  .74.",supplementary,two_sided,ready,Verified: reported second t=16.06 matches result_02 exactly. Same reasoning as claim_01 -- no applicable pre-specified direction.,second,study_05_result_02,"t(154) = 3.26, p < .001, d = 0.74",Independent samples t-test,"t (154) = 16.06, p <.001, d = 3.63","t(154) = 16.06, p <.001, d = 3.63",Fully reproducible,TRUE,,"t(154) = 16.06, p < .001, d = 3.63",recomputed_from_raw_data,independent_t_test,1.039549491399382e-34,=,two_sided,16.0557429910438,154,,,,,,,,23,133,156,19.60897435897436,cohens_d,3.625792684109871,6.609022556390977,0.4116298174477267,data/raw/study_05/HardLovettBrady_Data_Shared.csv,Speciality; NumPsychClass,"NumPsychClass ~ Speciality; Student independent-samples t-test, equal variances",psychology students minus nonpsychology students; Speciality 1 minus Speciality 0,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Psychology n = 23; nonpsychology n = 133; psychology mean = 8; nonpsychology mean = 1.390977; psychology SD = 2.746899; nonpsychology SD = 1.618242.",study_05_recomputed.csv,4,study_05
study_06_claim_01,study_06,10.1177/14757257241295302,"Sense of belonging was significantly higher in the social annotation condition, particularly for the introductory-level psychology course, and students reported positive perceptions of social annotation.",primary,two_sided,pending,"Wave 2 (factorial ANOVA simple effect). Phase 1 hypothesis explicitly predicts belonging would be 'strengthened' by social annotation -- legitimate pre-specified direction, updated from two_sided to positive. Still needs raw-data model fit (2x2 between-subjects design). [Directionality policy: the published significance test for this result is two-sided, so the Bayes factor is computed two-sided to match. The directional Phase 1 hypothesis is recorded but does not change the sidedness of the comparison; only study_20, whose authors ran a genuinely one-sided test, stays one-sided.]",key,study_06_result_01,"(p < .001, ηp² = .288)",2 × 2 between-subjects ANOVA,"(p < .001, ηp² = .288)","F(1, 40) = 16.194, [p < .001, ηp² = .288]",Fully reproducible,TRUE,,"PSYC 111 simple effect: social annotation > individual annotation; p < .001, eta_p2 = .288",recomputed_from_raw_data_simple_effect,factorial_between_anova,2.471727607865699e-4,=,omnibus,,,16.194490855895964,1,40,,,,,14,12,26,,eta_p2,0.28818645047296176,8.226190476190482,2.044161064744356,data/raw/study_06/Social_Annotation_and_SOB_SOC_Data.sav,BCBSTotalScore; Condition; Course,BCBSTotalScore ~ Condition * Course; simple effect of Condition within Course == 1 using full-model residual MSE,PSYC 111 social annotation minus PSYC 111 individual annotation,"Recovered simple-effect F, df, exact p, eta_p2, cell sizes, mean difference and SE. Course value for PSYC 111 = 1; individual value = 1; social value = 2; individual n = 14; social n = 12; individual mean = 33.857143; social mean = 42.083333; residual MSE = 27.000149; residual df = 40.",study_06_recomputed.csv,5,study_06
study_10_claim_01,study_10,10.1037/stl0000338,"Importantly, however, comparing measures collected before and during the pandemic, we found no significant differences in reports of self-esteem, self-efficacy, optimism, and life satisfaction, and even a significant pandemic-related improvement in somatic symptoms of psychological distress and social dysfunction.",primary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit.",key,study_10_result_01,"F(2, 1,043) = 103.50, p < .001",2 x 3 between-subjects factorial ANOVA,"F(2, 1,043) = 103.50, p < .001","F (2, 1,043) = 103.50, p < .001",Fully reproducible,TRUE,,"GHQ-c social dysfunction: main effect of semester, F(2, 1043) = 103.50, p < .001",recomputed_from_raw_data,factorial_between_anova,9.929653960744506e-42,=,omnibus,,,103.49934031616624,2,1043,,,,,,,1049,,eta_p2_from_F,0.16559911929476498,,,data/raw/study_10/master.anonymizedOSF.csv,GHQc.total; replicate; university,"GHQc.total ~ replicate * factor(university), after filtering university codes 1 and 3",omnibus main effect of replicate/semester on GHQ-c social dysfunction,"Recovered Table 2 main effect of data collection semester for GHQ-c. Filtered N = 1049. This corrects the earlier script, which targeted the wrong ANOVA row.",study_10_recomputed.csv,6,study_10
study_10_claim_02,study_10,10.1037/stl0000338,"Importantly, however, comparing measures collected before and during the pandemic, we found no significant differences in reports of self-esteem, self-efficacy, optimism, and life satisfaction, and even a significant pandemic-related improvement in somatic symptoms of psychological distress and social dysfunction.",supplementary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit.",second,study_10_result_02,"F(2, 1,043) = 103.50, p < .001",2 x 3 between-subjects factorial ANOVA,"F(2, 1,043)= 25.51, p < .001","F(2, 1,043)= 25.51, p < .001",Fully reproducible,TRUE,,"GHQ-b anxiety/insomnia: main effect of semester, F(2, 1043) = 25.51, p < .001",recomputed_from_raw_data,factorial_between_anova,1.532958092634304e-11,=,omnibus,,,25.50532099652211,2,1043,,,,,,,1049,,eta_p2_from_F,0.04662718993310172,,,data/raw/study_10/master.anonymizedOSF.csv,QHQb.total [raw-file spelling]; replicate; university,"QHQb.total ~ replicate * factor(university), after filtering university codes 1 and 3",omnibus main effect of replicate/semester on GHQ-b anxiety/insomnia,Recovered Table 2 main effect of data collection semester for GHQ-b. The public CSV uses the column name QHQb.total although the article labels the subscale GHQ-b. Filtered N = 1049.,study_10_recomputed.csv,7,study_10
study_13_claim_01,study_13,10.1177/00986283221142016,"The bias education intervention increased objective and subjective knowledge of bias and multicultural competence, awareness of one's own bias, and behavioral intentions to reduce bias.",primary,two_sided,pending,"Phase 1 hypothesis explicitly predicts the intervention 'would increase' knowledge/awareness/intentions -- legitimate pre-specified direction, updated from two_sided to positive. Still Wave 2: Welch (heteroscedastic) independent t-test, needs a raw-data heteroscedastic Bayesian model, not meta.ttestBF()'s equal-variance JZS model. [Directionality policy: the published significance test for this result is two-sided, so the Bayes factor is computed two-sided to match. The directional Phase 1 hypothesis is recorded but does not change the sidedness of the comparison; only study_20, whose authors ran a genuinely one-sided test, stays one-sided.]",key,study_13_result_01,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35",Welch’s independent-samples t-test,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35","tₛₐₜ (455.40) = 14.45, p < .0005, d = 1.35",Fully reproducible,TRUE,,"t_sat(455.40) = 14.45, p < .0005, d = 1.35",recomputed_from_raw_data,welch_independent_t_test,3.2360126016710324e-39,=,two_sided,14.447693281497337,455.39777283104985,,,,,,,,195,303,498,118.644578313253,cohens_d_article_t_df_transform,1.3540448748312182,1.7861216890919862,0.12362677240521232,data/raw/study_13/DATA_Cleaned_and_coded_for_condition.sav,condition; subj_total,subj_total ~ condition; Welch independent-samples t-test,education intervention minus control; condition 1 minus condition 0,"Recovered Welch t, Satterthwaite df, group sizes, exact p, mean difference and Welch SE. effect_size_value stores 2*t/sqrt(df), matching the article convention; pooled-SD d = 1.285106. Education n = 195; control n = 303.",study_13_recomputed.csv,8,study_13
study_13_claim_02,study_13,10.1177/00986283221142016,"The bias education intervention increased objective and subjective knowledge of bias and multicultural competence, awareness of one's own bias, and behavioral intentions to reduce bias.",supplementary,two_sided,pending,"Same as claim_01: pre-specified positive direction confirmed; Welch design still needs a heteroscedastic model. [Directionality policy: the published significance test for this result is two-sided, so the Bayes factor is computed two-sided to match. The directional Phase 1 hypothesis is recorded but does not change the sidedness of the comparison; only study_20, whose authors ran a genuinely one-sided test, stays one-sided.]",second,study_13_result_02,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35",Welch’s independent-samples t-test,"tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91","tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91",Fully reproducible,TRUE,,"t_sat(466.17) = 9.79, p < .001, d = 0.91",recomputed_from_raw_data,welch_independent_t_test,1.0387197857941702e-20,=,two_sided,9.790970952113485,466.1677644263239,,,,,,,,195,303,498,118.644578313253,cohens_d_article_t_df_transform,0.90695270080391,0.15842599644579847,0.01618082590793516,data/raw/study_13/DATA_Cleaned_and_coded_for_condition.sav,condition; obj_total,obj_total ~ condition; Welch independent-samples t-test,education intervention minus control; condition 1 minus condition 0,"Recovered Welch t, Satterthwaite df, group sizes, exact p, mean difference and Welch SE. effect_size_value stores 2*t/sqrt(df), matching the article convention; pooled-SD d = 0.862712. Education n = 195; control n = 303.",study_13_recomputed.csv,9,study_13
study_14_claim_01,study_14,10.1177/1475725719859453,"Perceived need for reform and number of student researchers supervised/year correlated with teaching these issues, suggesting that those who believe more change is needed in psychology research and are more involved in shaping the next generation of psychology researchers are more likely to discuss replication and reform in their courses. ",primary,two_sided,ready,Verified: reported key r=.46 matches result_01 exactly. No explicit directional hypothesis in Phase 1 (aim/RQ substituted) -- keep two_sided.,key,study_14_result_01,"r(56) = .46, p < .001",Pearson correlation,"r(56) = .46, p < .001","r(56) = .46, p < .001",Fully reproducible,TRUE,,"r(56) = .46, p < .001",recomputed_from_raw_data_pairwise_complete,pearson_correlation,2.801095267522945e-4,=,two_sided,3.876999222244787,56,,,,,,,0.4600143435956783,,,58,58,correlation_r,0.4600143435956783,,,data/raw/study_14/Perceived_need_for_reform_and_teaching_of_best_research_practices.sav,reform; grad_replication,Pearson correlation: reform with grad_replication; pairwise complete observations,positive association between reform and grad_replication,"Recovered r, equivalent t, df, exact p and pairwise N. Article df = 56; recomputed df = 56; pairwise N = 58.",study_14_recomputed.csv,10,study_14
study_14_claim_02,study_14,10.1177/1475725719859453,"Perceived need for reform and number of student researchers supervised/year correlated with teaching these issues, suggesting that those who believe more change is needed in psychology research and are more involved in shaping the next generation of psychology researchers are more likely to discuss replication and reform in their courses. ",supplementary,two_sided,ready,Verified: reported second r=.30 matches result_02 exactly. Same reasoning as claim_01.,second,study_14_result_02,"r(56) = .46, p < .001",Pearson correlation,"r(228)= .30, p < .001","r(228)= .30, p < .001",Fully reproducible,TRUE,,"r(228) = .30, p < .001",recomputed_from_raw_data_pairwise_complete,pearson_correlation,5.3489935621111325e-6,=,two_sided,4.661225131634766,228,,,,,,,0.29496284411487556,,,230,230,correlation_r,0.29496284411487556,,,data/raw/study_14/Perceived_need_for_reform_and_teaching_of_best_research_practices.sav,reform; Adv_topics,Pearson correlation: reform with Adv_topics; pairwise complete observations,positive association between reform and Adv_topics,"Recovered r, equivalent t, df, exact p and pairwise N. Article df = 228; recomputed df = 228; pairwise N = 230.",study_14_recomputed.csv,11,study_14
study_18_claim_01,study_18,10.1177/00986283221130298,"Psychology students reported significantly higher perceived prominence of psychological literacy attributes in their degree, compared with Humanities and non-Psychology STEM students, in all but two of the psychological literacy attributes.",primary,unclear,pending,"Verified: reported key F(16,574)=36.66 matches result_01 exactly. Wave 3 (MANOVA, 16 outcome-related predictors). Needs raw-data multivariate model.",key,study_18_result_01,"F(16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.",One-way MANOVA comparing 3 subject groups,"F(16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.","F (16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.",Fully reproducible,TRUE,,"F(16, 574) = 36.66, p < .001, Pillai's Trace = 1.011, eta_p2 = .505",recomputed_from_raw_data,manova,5.348010931422366e-77,<,omnibus,,,36.660357611238425,16,574,,,,,,,296,,eta_p2,0.5054136192134575,,,data/raw/study_18/Psychological_literacy_subject_study_finaldataset.sav,STEM_NONSTEM_PSYCH; Skill_1_Awareness; Skill_1_Development; Skill_1_Confidence; Skill_1_Importance; Skill_2_Awareness; Skill_2_Development; Skill_2_Confidence; Skill_2_Importance; Skill_3_Awareness; Skill_3_Development; Skill_3_Confidence; Skill_3_Importance; Skill_4_Awareness; Skill_4_Development; Skill_4_Confidence; Skill_4_Importance; Skill_5_Awareness; Skill_5_Development; Skill_5_Confidence; Skill_5_Importance; Skill_6_Awareness; Skill_6_Development; Skill_6_Confidence; Skill_6_Importance; Skill_7_Awareness; Skill_7_Development; Skill_7_Confidence; Skill_7_Importance; Skill_8_Awareness; Skill_8_Development; Skill_8_Confidence; Skill_8_Importance,"cbind(Skill_1_avg_recomputed, Skill_2_avg_recomputed, Skill_3_avg_recomputed,      Skill_4_avg_recomputed, Skill_5_avg_recomputed, Skill_6_avg_recomputed,      Skill_7_avg_recomputed, Skill_8_avg_recomputed) ~ subject_group",Subject-group effect across eight psychological literacy attribute averages: Psychology vs non-Psychology STEM vs Humanities/non-STEM,"One-way MANOVA with Pillai trace, matching the article's decision to report Pillai's Trace. Skill averages were recomputed from Awareness, Development, Confidence, and Importance item columns. Complete-case n = 296; Psychology n=117; non-Psychology STEM n=86; Humanities/non-STEM n=93. Pillai trace = 1.010827.",study_18_recomputed.csv,12,study_18
study_20_claim_01,study_20,10.1177/14757257221098860,Results showed that reflection and social interaction might be promising strategies to address epistemic doubt.,primary,positive,pending,Phase 1 hypothesis explicitly predicts reflection+social-interaction components lead to 'stronger epistemic change' than the comparisons -- this legitimately supports the one-sided test the authors themselves used (not a post-hoc choice). Updated from unclear to positive. Wave 3 (SEM/lavaan); still needs Bayesian SEM (e.g. blavaan).,key,study_20_result_01,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",Planned (linear) contrast tested via a one-sided Wald z within a latent difference score SEM,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)","((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",Fully reproducible,TRUE,,"((MDV + MR + MRSI)/3 - MC = .372, SE = .183, p = .021; one-sided test)",recomputed_from_raw_data_supplied_sem_model,sem_contrast,0.0209958858209693,=,one_sided,,,,,,2.0336016867372755,,,,,,153,,none,,0.37156096937466826,0.18271078933397383,data/raw/study_20/PA_sj-csv-2-plj-10.1177_14757257221098860.csv,group_t2; FRG_A_01_t1; FRG_A_02_t1; FRG_A_03_t1; FRG_A_04_t1; FRG_A_05_t1; FRG_M_01_t1; FRG_M_02_t1; FRG_M_03_t1; FRG_M_04_t1; FRG_M_05_t1; FRG_E_01_t1; FRG_E_02_t1; FRG_E_03_t1; FRG_E_04_t1; FRG_E_05_t1; FRG_A_01_t2; FRG_A_02_t2; FRG_A_03_t2; FRG_A_04_t2; FRG_A_05_t2; FRG_M_01_t2; FRG_M_02_t2; FRG_M_03_t2; FRG_M_04_t2; FRG_M_05_t2; FRG_E_01_t2; FRG_E_02_t2; FRG_E_03_t2; FRG_E_04_t2; FRG_E_05_t2; DV; R; Social_Interaction; D_FRG_Index_t1; D_FRG_Index_t2,lavaan latent difference score model; Test_H1a := (m_DV + m_R + m_SI)/3 - b0,average of intervention latent-change means minus control latent-change mean,"Recovered estimate, SE, z and one-sided directional p from supplied lavaan model. Two-sided p = 0.0419918.",study_20_recomputed.csv,13,study_20
