ID,DOI,Journal,Country where corresponding author's university is based in,Quantitative or mixed methods paper,Stat test,Reported key result,Reproduced key result,Reproducibility (Key result),Protocol,Data type,xslx or csv provided?,Software used to reproduce,Syntax/code available? (incl JASP/JAMOVI),Available code used to reach final outcome?,Author 1 to reproduce (minutes),Support used by Author 1 to reach result,Final first result by,Parametric,Second result used?,Reported second result,Reproduced second Result,Reproducibility (second result),Final second result by,Both key and second result reproducible?,Author 1 comment,Author 2 comment 
1,10.1177/14757257241302565,Psychology Learning and Teaching,Singapore,Mixed methods,Descriptive statistics,"M = 4.61, SD = 0.52","M= 4.61, SD = 0.52",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,5,Notes,Author 1 ,N/A,no,,,,,,"Very easy, just ran descriptives directly",N/A
2,10.1177/1475725720971205,Psychology Learning and Teaching,Germany,Quantitative ,2 × 2 repeated-measures ANOVA,"F(1, 495) = 87.87, p < .001, ηp² = .151","F (1, 495) = 87.87, p < .001, ηp² = .151",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,106,Notes,Author 1,Parametric,yes,"F(1, 495) = 65.80, p < .001, ηp² = .117","F(1, 495) = 65.80, p < .001, ηp² = .117",Fully reproducible,Author 1,Both reproducible,"Excel sheet had missing values, also, had to scroll soo much to find the relative data. Then I also found out there are missing values in the rows I was using for the anova, the answer was found rows beneath the data on the excel sheet. I had to replace the missing values with the mean of the column (but the authors provided it which is good). I computed partial eta squared (ηp²) using the standard formula based on the F statistic: ηp² = (F × df_effect) / (F × df_effect + df_error)."," it looks like feedback and correctness are swapped in the output. This is something that you’ve done, not something that they’ve done, so it is “reproducible”. Just flagging it in case you wanted to change it in the syntax and output for that study."
3,10.1037/stl0000432,Scholarship of Teaching and Learning in Psychology,USA,Quantitative ,2 × 2 between-subjects MANOVA ,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.","F (3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",Fully reproducible,Unfamiliar,sav,no,SPSS,no,N/A,22,Video,Author 1,Parametric,yes,"F(3, 164) = 0.78, p = .51, Wilks’ λ = .99, ηp²= .01","F(3, 164) = 0.78, p = .51, Wilks’ λ = .99, ηp²= .01",Fully reproducible,Author 1,Both reproducible,"Video was well explained, and the data for this study was in SPSS style with already made and clearly labelled compositve variables. Fairly straightforward and perfectly reported by the authors.",N/A
4,10.1177/00986283251339407,Teaching of Psychology,USA,Quantitative ,2 × 2 × 2 mixed factorial ANOVA,"F(1, 121) = 14.13, p < .001, ηp² = .11.","F (1, 121) = 13.893, p < .001, ηp² = .103 ",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,11,Notes,Author 1 ,Parametric,no,,,,,,Did it first try. No codebook but variables were named pretty obviously and all results in the table were close to the original but off by a few numbers,"Confirmed: I got the same results as you.  All the ANOVA results are slightly off. Correct DF (and Ns reported in paper) suggests that it’s not that we’re running the ANOVA on too many or too few cases.  I recomputed the two key variables and case 877 has been changed at some point. They have 1s on all the ‘post’ variables, yet their post_prop score is 0.86. However, running the analyses using the corrected score for this participant does not produce results that line up with the paper. Neither does using Type II sums of squares, which can be preferred when there are no interactions present. "
5,10.1037/stl0000136,Scholarship of Teaching and Learning in Psychology,USA,Mixed methods,Independent samples t-test,"t(154) = 3.26, p < .001, d = 0.74","t(154) = 3.26, p < .001, d = 0.74",Fully reproducible,Syntax,csv + JAMOVI,yes,JAMOVI,yes,yes,62,Notes,Author 2,Parametric,yes,"t (154) = 16.06, p <.001, d = 3.63","t(154) = 16.06, p <.001, d = 3.63",Fully reproducible,Author 2,Both reproducible,Took me a while to figure out why I kept getting 26 participants in my data instead of 156. I wrote instructions in the syntax on what to do since csv file did not import correctly (you will have to copy paste relevant csv rows into spss) I will send you all the  files you need so dont worry. Numbers are off by a few places. Follow syntax protocol. AI chat did not really help and focused more on why my t value was negative (which is irrelevant to why the results are different). ,"That CSV looks like it is an export from JAMOVI and is difficult to work with because of the forced line breaks. However, if you open the OMV in JAMOVI, you can reproduce the primary and extra claims (and, in fact, they are in the output that is embedded in the OMV file anyway). I suspect that something has gone wrong with either (a) the export to CSV by the authors; or (b) your import of it into SPSS. If you copy and paste the data from the JAMOVI data viewer into an Excel spreadsheet, save that as a CSV, and then import that CSV into SPSS, you’re able to reproduce the results for the two identified claims. You’re using the correct variables in your syntax.  + Study 5 the result is reported as p < .001 in the paper, but p = .001 in the spreadsheet. "
6,10.1177/14757257241295302,Psychology Learning and Teaching,USA,Mixed methods,2 × 2 between-subjects ANOVA," (p < .001, ηp² = .288)","F(1, 40) = 16.194, [p < .001, ηp² = .288]",Fully reproducible,Familiar,sav,no,SPSS,no,N/A,34,Notes,Author 2,Parametric,no,,,,,,"I got the anova results, therefore I know I did not use any wrong variables. It is just the result that I could not figure out. The np2 of .282 is not working. I also did chat gpt's suggestion and still could not get that number whatsoever. I have saved my syntax so you could see what I tried.",This is the simple effect of Condition on BCBSTTotalScore when Course = 1. 
7,10.1037/stl0000177,Scholarship of Teaching and Learning in Psychology,UK,Quantitative ,Bayesian independent samples t tests ,BF₁₀ = 2.88 × 10¹⁰,BF₁₀ = 2.88 × 10¹⁰,Fully reproducible,Familiar,sav,no,JASP,no,N/A,26,Notes,Author 1,Parametric,yes,BF₁₀ = 1.84 × 10⁶,BF₁₀ = 1.84 × 10⁶,Fully reproducible,Author 1,Both reproducible,"Very straightforward. I did not even have to specify the prior, as it was already srt to .707 on JASP, as articles stated. However, there were over 200 variables in the SAV, it took me a while to get to the correct one.",N/A
8,10.1177/14757257221077307,Psychology Learning and Teaching,Netherlands,Quantitative ,Bayesian hypothesis testing for ordered binomial probabilities,BFr₀ = 1884 ,BFr₀ = 1884 ,Fully reproducible,Syntax,xlsx + JASP + Rstudio,yes,Rstudio,yes,yes,25,Notes,Author 1,Parametric,no,,,,,,"Immediately reproducible with R, just took me a long time because I wanted to try to run the JASP analysis and it was not getting me to the right place. However, the R syntax was perfect to obtain the result",N/A
9,10.1177/14757257221101942,Psychology Learning and Teaching,USA,Quantitative ,Descriptive statistics,8.08 percent,8.08 percent,Fully reproducible,Syntax,csv + Rstudio,yes,Rstudio,yes,yes,38,Notes,Author 1,N/A,yes,35 percent,35 percent,Fully reproducible,Author 1,Both reproducible,"Fairly straightforward. R code was very long. I only cherry picked relevant parts (see folder if interested) to reproduce the key claim and another result. For the second result, I added the ""presenting outside of class and journal publication"" to achieve the 35% like the authors did.",N/A
10,10.1037/stl0000338,Scholarship of Teaching and Learning in Psychology,Canada,Quantitative ,2 x 3 between-subjects factorial ANOVA,"F(2, 1,043) = 103.50, p < .001","F (2, 1,043) = 103.50, p < .001",Fully reproducible,Syntax,csv + Rstudio,yes,Rstudio,yes,yes,57,Notes,Author 1,Parametric,yes,"F(2, 1,043)= 25.51, p < .001","F(2, 1,043)= 25.51, p < .001",Fully reproducible,Author 1,Both reproducible,"There was an R syntax that accompanied the data. However, it was very long and I had to install many packages. I also had to install packages like ""max print"" which allow me to include the full sample of 1049. Took a bit longer than expected but obtained the same results.",N/A
11,10.1177/14757257241239622,Psychology Learning and Teaching,Germany,Quantitative,Path-analytic SEM mediation model,"B = .33, SE = .05, p < .001.","B = .33, SE = .05, p < .001.",Fully reproducible,Syntax,Rstudio,no,Rstudio,yes,yes,113,Notes,Author 1,Parametric,yes," B = .23, SE = .06, p < .001"," B = .23, SE= .07, p < .001",Not reproducible,Author 1,Only key result was reproducible,"Even longer than syntax above. I had to reinstall and run many packages to get the data running. If using my r file, make sure those are downloaded. For second result, SE showed up as 0.066 and Should be 0.07, although very trivial in terms of importance, SE was rounded properly in the main result and I expected it to be correct in the second result.",N/A
12,10.1177/00986283241279402,Teaching of Psychology,USA,Quantitative,One-tailed paired-samples t-test,"t(115) = 1.77, p = .04, d = 0.16.","t (229) = -1.76, p = .040, d = -.116",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,30,Notes,Author 2,Parametric,no,,,,,,The data file has double the scores used in the reported sample (231). So my df was 230 compared to their 115. They have no explanation of what results I should exclude. Even AI suggested I should check for extra variables that are not included in their dataset.,"I don’t think that these are the correct data. The manuscript says that there were 116 students in the sample (after exclusions). However, there are 232 cases in the data file. Also, Table 2 suggests that students were averaging in the 70s for these assessments, yet the means for the three variables in the spreadsheet are in the 40s.  My result: t(229) = -1.755, p = .040 (one tailed), d = -.116 (note: negatives are arbitrary). I see that you used the MEAN function, which salvages one more case. The paper says that variables were standardized, but I think that this was done at the test level. Doing it at the condition level wouldn’t make the numbers line up anyway, as the DF are way off. "
13,10.1177/00986283221142016,Teaching of Psychology,USA,Quantitative,Welch’s independent-samples t-test,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35","tₛₐₜ (455.40) = 14.45, p < .0005, d = 1.35",Fully reproducible,Familiar,sav,no,SPSS,no,N/A,14,Notes,Author 1,Parametric,yes,"tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91","tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91",Fully reproducible,Author 1,Both reproducible,"Very easy, results section outlined exactly what they did, and the variables were ready (no need to compute). Although I received different cohen's d results from the table, this is not an error in their reported results, as I have confirmed that they used the d=2t/sqrt of df formula",N/A
14,10.1177/1475725719859453,Psychology Learning and Teaching,USA ,Quantitative,Pearson correlation,"r(56) = .46, p < .001","r(56) = .46, p < .001",Fully reproducible,Syntax,sav,no,SPSS,yes,yes,35,Notes,Author 1,Parametric,yes,"r(228)= .30, p < .001","r(228)= .30, p < .001",Fully reproducible,Author 1,Both reproducible,"Data is very organised but divided into 3 separate sav and syntax files. The key result identified was located in Q3, which corresponded to the ""Perceived need for reform and teaching of best research practices"" files. I uploaded specifically which code I selected to reproduce the results and added the file to the folder. The only difference was N (number of participants, but that is because pearson R's df is ""N-2""",N/A
15,10.1177/1475725720965363,Psychology Learning and Teaching,Germany,Quantitative,2 x 2 x 2 repeated measures ANOVA,"F(1, 53) = 6.15, p = .02, ηp² = .10","F(1, 53) = 0.19, p = .67, ηp² = .003",Not reproducible,Familiar,csv,yes,SPSS,no,N/A,95,Notes,Author 2,Parametric,yes,"F(1, 53) = 0.19, p = .67, ηp² = .003","F(1,53) = 9.053, p=.004, ηp²=.146",Not reproducible,Author 2,Both not reproducible,"We assume that the Condition×Delay was wrongly given the Test×Delay numbers; the correct Condition×Delay is not significant (F(1,53)=0.185, p=.669, ηp²=.003). We say this with a bit some confidence as the authors state: There was a significant interaction ..., but not between condition and delay of practice test, F(1, 53) = 6.15, p = .02, ηp2 = .10. (However, the result they reported is significant and already mentioned elsewhere. Fot the second result we found the three-way interaction is (F(1,53)=9.053, p=.004, ηp²=.146). We also assume they reported the wrong numbers here as they instead pasted F(1, 53) = 0.19, p = .67 ηp2 = .003 and called that significant.","Yes, it looks like they have reported the condition*delay interaction when they should have reported the three way interaction (extra result) and the test*delay interaction when they should have reported the condition*delay result. What a mess! "
16,10.1177/00986283241235667,Teaching of Psychology,USA,Mixed methods,Descriptive statistics,"M = 4.47, SD 0.74","M = 4.47, SD = 0.74",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,13,Notes,Author 1,N/A,yes,"M = 3.09, SD = 1.22","M = 3.09, SD = 1.22",Fully reproducible,Author 1,Both reproducible,"SPSS did not allow the file import initially, but after removing text files it was nice and easy from there. Syntax shows I just had to run frequencies and the relevant part was the hipim_1 to hipim_20 (hipim means importance)",N/A
17,10.1177/00986283211013842,Teaching of Psychology,USA,Quantitative,Descriptive statistics,Confirm Psych Major means for all careers re consistent with the LH side of Table 2. ,All results were reproduced from LH side of Table 2.,Fully reproducible,Familiar,xlsx + sav,yes,SPSS,no,N/A,67,Notes,Author 1,N/A,no,,,,,,"I successfully reproduced the left-hand side of Table 2 from Study 2  by filtering the dataset to include only psychology majors (major_48 = 1). I then found 5 extra cases. I looked at the dataset and found that  excluded (exclude = 1)  was a variable assigned to most participants. I then oly kept those cases, which I guessed was the right thing to do, and it worked. The hard part was having to find the  the corresponding 20 career variables from the ""career name Excel file* the authors uploaded. I eventually wrote the syntax down and ran descriptive statistics to successfully reproduce all 20 means and SDs.",N/A
18,10.1177/00986283221130298,Teaching of Psychology,UK,Quantitative,One-way MANOVA comparing 3 subject groups,"F(16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505."," F (16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.",Fully reproducible,Unfamiliar,sav,no,SPSS,no,N/A,27,Video,Author 1,Parametric,no,,,,,,Video MANOVA part 1 by howtostats was straight to the point on how to do it on spss. Authors alreafy provided averages for the dv's (composite variables) which made it much easier and faster for me to proceed with the multivariate GLM model. I explained how I did it on the syntax,N/A
19,10.1177/00986283211061204,Teaching of Psychology,Germany,Quantitative,Mixed-effects logistic regression,"z = 1.97, p = .024 (one-tailed), OR = 1.88, 95% CI [1.00, 3.53]","z = 2.01, p = .022, one-tailed, OR = 1.90, 95% CI [1.02, 3.57]",Not reproducible,Syntax,Rstudio,no,Rstudio,yes,yes,73,Notes,Author 1,Parametric,yes,"z = -1.52, p = .936, one-tailed, OR = 0.70, 95% CI [0.44, 1.11] ","z = -1.46, p = .928, OR = 0.71, CI [0.45, 1.12]",Not reproducible,Author 1,Both not reproducible,"Disliked their script very much. Wrong variable names (subj_condition was called Sbj_condition) in other areas. I had to constantly fix mistakes they made by searching online on how to do them. I finaly got the result after fixing the script. The mistakes were not about dataset names as much as they were about inconsistency within the dataset. I have saved the RCode I made. After loading the dataset from your device, all lines should work but some lines that do not work were just me trying ways to fix it. I have lost track of which actually worked, so just proceed to the run each line and they will work.",How did you do this without textlength.xlsx? It seems like there is a crucial bit of the puzzle missing in the OSF project. Mine breaks when it hits that textlength.xlsx line. Doesn’t matter though … we’re not able to reproduce this one.  
20,10.1177/14757257221098860,Psychology Learning and Teaching,Germany,Quantitative,Planned (linear) contrast tested via a one-sided Wald z within a latent difference score SEM,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)","((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",Fully reproducible,Syntax,csv + Rstudio,yes,Rstudio,yes,yes,87,Notes,Author 2,Parametric,yes,"(MRSI− MR= .081, SE= .227, p = .360; one-sided test).","(MRSI− MR= .081, SE= .227, p = .360; one-sided test).",Fully reproducible,Author 2,Both reproducible,Took a lot of time because their script was very long and I kept trying to reproduce line by line. I initially tried to skip to the section where I could reproduce the key results but there was some essential coding I had to do before hand. The manipulation checks and reliability data troubleshooting longer but at some point I tried to skip to the key result code again and this time it worked. I got the exact same results but some differences in SE and p values.,I’ve reproduced both the first and second results (with considerable effort). I think that you’re not replicating the results because of how you’re handling missing data.
21,10.1177/0098628318762900,Teaching of Psychology,USA,Quantitative,Paired samples t-test,"Pre-lecture : M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = −0.36 , p < .001","Pre-lecture : M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = −0.36 , p < .001",Fully reproducible,Familiar,sav,no,SPSS,no,N/A,45,Notes,Author 1 ,Parametric,yes,"Pre lecture: M = 4.51, SD = 1.56, Post lecture: M = 4.64, SD = 1.49, d = .09","Pre-lecture: M = 4.09, SD = 1.66, Post-lecture: M = 4.28, SD = 1.57, d = .12",Not reproducible,Author 1 ,Only key result was reproducible,"Key result: Fairly straight forward. I just had to compute the cohen's d effect size to see why I got 0.306 while the authors got 0.36. They did M1-M2/Sdpooled which I confirmed also resulted in the same number I got. / For second result: The authors appear to have mistakenly reported the mean and standard deviation values of “Surprise of findings” under the label “Interest in learning more.” Specifically, SPSS output indicated that the pre-lecture mean for interest was 4.08, but this exact value was reported in the table for surprise. ","Second result is not reproducible, however we can not say it is a copy and paste error or a variable swap as we do not know what happened."
22,10.1177/14757257231163482,Psychology Learning and Teaching,Germany,Quantitative,One-way repeated-measures ANOVA,"F(1, 23) = 50.76, p < .001, ηp² = .688","F (1, 23) = 50.76, p < .001, ηp² = .688",Fully reproducible,Syntax,sav ,no,SPSS,yes,yes,73,Notes,Author 2,Parametric,yes,"F(1, 39) = 4.95, p = .032, ηp² = .113","F(1, 38) = 4.151, p = .049, ηp² = .098",Not reproducible,Author 2,Only key result was reproducible,"Very long script, lots of recoding required. Recoding had the wrong setup: Had to manually convert everything to numeric / Frequencies didn’t show at first, had to run recodes to see values (technical issue perhaps..) / Final test ran, but unclear why my df = 41 but theirs was 23, they did not specify how they chose which participants to include (each result in the anova table had drastically different df's as well) / Overall very time-consuming and unnecessarily complex / I believe if we figure out which 23 participants to choose for the ANOVA, we might get the right result, but the syntax had so many mistakes. + For second result, same problem, what 39 participants did they choose! Why not 41 ","First result: I didn't re-do the data wrangling for these. I just ran them using the computed variables in the data file.  / Second result: They have reported more degrees of freedom for their result 2 than are possible given the data. There are three cases with missing data on the texture variables and 42 cases in the data file, so error DF has to be 38, not 39.   "
23,10.1177/00986283221111749,Teaching of Psychology,USA,Quantitative,Descriptive statistics,2766 terms (71%) were unique to only a single textbook,2766 terms (71%) were unique to only a single textbook,Fully reproducible,Familiar,xlsx,yes,SPSS,yes,no,31,Notes,Author 1,N/A,yes,154 terms (4%) were common to all five.,154 terms (4%) were common to all five.,Fully reproducible,Author 1,Both reproducible,"First I tried to use the python script they used, I could not figure it out in 15 minutes so I did it from scratch. Very easy, but took me some time to realise how they labeled their frequencies. In an extra sheet of their xlsx file, the authors demonstrated that frequencies of terms in textbooks were defined as 1 divided by the number of textbooks the word is present in. Therefore 0.2 means the term was mentioned in 1 textbook only. Good thing is --> reproducible",N/A
24,10.1177/14757257241276078,Psychology Learning and Teaching,Germany,Quantitative,Independent samples t-test,"t(157) = −4.55, p < .001, d = −.736","t(152) = -4.47, p < .001, d = -.733",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,43,Notes,Author 1 ,Parametric,yes,"t (157) = −4.55, p < .001, d = −.736","t(152) = -3.671, p < .001 (two tailed), d = -.602 ",Not reproducible,Author 2,Both not reproducible,"Dataset was in German, had to do some translating to figure out my  grouping variable (which I then had to make a dummy  variable for). I then had to read the article properly to figure out how they  distinguished the 3 different types of motivation. I computed 2 rows into one for the extra result, and used the fisrt measure called SelfR1 for the key  result about intrinsic motivation ""Read syntax  for justification"". However, the file only has 154 rows. I used the study 3 xlsx dataset as we are replicating study 3's result. The excel sheet has 154 rows meaning my df was 152, while the authors had a df of 157. I predict you will find this to be the case as well. AI went on about the differences in the rounding because the results I got were very  close to the main ones and also noted that the missing cases might be because of missing data within the dataset. However, it failed to realize that the dataset did not have 159 rows to being with.","The data file contains 5 fewer cases than the analyses are based on.  You’ve averaged SelfR2 and SelfR3 to get the result 2 IV. I think that it is just SelfR3, because there are four outcomes reported in that paragraph in the manuscript, and 4 x SelfR variables. Aside from the missing cases, this one would really benefit from a codebook (in English).   "
25,10.1177/1475725717700516,Psychology Learning and Teaching,Germany,Quantitative,Independent samples t-test,"t(78) = 0.66, p = 0.51","t(78) = 0.66, p = 0.51",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,93,AI,Author 1,Parametric,yes,"t (78) = 1.50, p = 0.138","t (78) = 1.50, p = 0.138",Fully reproducible,Author 1,Both reproducible,"I had to read a very large excel sheet to find the associated column that corresponded to R2. Before that I chose the wrong R2 (that corresponding to children who did the individual task, when I was supposed to choose the R2 for children who did the 100 task first. Thanks to AI I found that I was using the wrong variable I also took a lot of time because there was a lot of excel numbers in the original file and pictures that were below the main data, that interfered with data and I found out after a while.",N/A
26,10.1177/00986283221108129,Teaching of Psychology,USA,Quantitative,Wilcoxon Signed-Rank t-tests,"women: z = -6.155, p < .001, r = -.87","z = -6.155, p < .001, r = -.87",Fully reproducible,Unfamiliar,xlsx,yes,SPSS,no,N/A,17,Video,Author 1,Non-parametric,yes,"z = -6.126, p < .001, r = -.87","z = -6.126, p < .001, r = -.87",Fully reproducible,Author 1,Both reproducible,Video was very helpful. First time doing this type of test. What is good is that the spss file was already labelled and had composite variables for scores before and after the intervention! ,N/A
27,10.1177/00986283211065746,Teaching of Psychology,USA,Quantitative,Paired samples t-test,d = 5.65 p < .001,"d(av) = 5.64, p < .001.",Not reproducible,Familiar,sav,no,SPSS,no,N/A,32,Notes,Author 2,Parametric,yes,"d = 1.80, p < .001","d = 1.80, p < .001",Fully reproducible,Author 1 ,Only second result was reproducible,"I recreated the table of the paired sample t-tests (table 1 in the article) from the spss sheet. Each question that had a ""pre"" variable was paired to it's corresponding post variable. I got cohen's d that was off by a considerable amount in the spss output. However, AI suggested that the authors may have used the manual calculation (mean differences / sd of scores). I got very close, but still not reproducible.","The t-values in the online supplement reproduce, as do the means and standard deviations with some minor rounding issues. I think that the effect sizes may be calculated using d(av), which is formula 10 in this paper: https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00863/full However, it is difficult to get the numbers to line up exactly (possibly due to the number of decimals in the means and standard deviations used to make the calculations. If I take all the decimals reported by SPSS, I get 5.64, whereas the manuscript reports 5.65. I get 5.62 if I use the means and SDs reported in the online supplement. If I do the same for the next effect in the table, I get 1,44 (all decimals) or 1.44 (decimals in online supplement), whereas the manuscript reports 1.41."
28,10.1177/00986283211056074,Teaching of Psychology,USA,Quantitative,Two-way ANOVA based on ranks,"F(1, 76) = 0.03, p = .87, ηp² < .01","F(1, 73) = 0.03, p = .87, ηp² < .01",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,21,Notes,Author 2,Non-parametric,yes,"F(1, 76) = 20.30, p <.001, ηp²  = .22","F(1, 73) = 20.30, p <.001, ηp²  = .22",Not reproducible,Author 1 ,Both not reproducible,The authors reported the corrected total and not the df. All other numbers are okay. This is the case for both experiments.,Degrees of freedom do not match
